"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","IMMIGINFLOW","FAM","NBR","A","2003",40105,
"AUS","IMMIGINFLOW","FAM","NBR","A","2004",42187,
"AUS","IMMIGINFLOW","FAM","NBR","A","2005",43747,
"AUS","IMMIGINFLOW","FAM","NBR","A","2006",45943,
"AUS","IMMIGINFLOW","FAM","NBR","A","2007",48769,
"AUS","IMMIGINFLOW","FAM","NBR","A","2008",49870,
"AUS","IMMIGINFLOW","FAM","NBR","A","2009",56366,
"AUS","IMMIGINFLOW","FAM","NBR","A","2010",60254,
"AUS","IMMIGINFLOW","FAM","NBR","A","2011",54543,
"AUS","IMMIGINFLOW","FAM","NBR","A","2012",58604,
"AUS","IMMIGINFLOW","FAM","NBR","A","2013",60185,
"AUS","IMMIGINFLOW","FAM","NBR","A","2014",61112,
"AUS","IMMIGINFLOW","FAM","NBR","A","2015",61085,
"AUS","IMMIGINFLOW","FAM","NBR","A","2016",60912,
"AUS","IMMIGINFLOW","FAM","NBR","A","2017",59620,
"AUS","IMMIGINFLOW","FAM","NBR","A","2018",51082,
"AUS","IMMIGINFLOW","FAM","NBR","A","2019",50495,
"AUS","IMMIGINFLOW","FAM","NBR","A","2020",44442,
"AUS","IMMIGINFLOW","FAM","NBR","A","2021",80378,
"AUS","IMMIGINFLOW","FAM","NBR","A","2022",54294,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2003",30166,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2004",38200,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2005",40739,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2006",46444,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2007",49268,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2008",55145,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2009",64046,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2010",61377,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2011",57563,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2012",66069,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2013",65923,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2014",67015,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2015",68292,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2016",67815,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2017",66750,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2018",61053,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2019",59038,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2020",51899,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2021",43538,
"AUS","IMMIGINFLOW","FAMWORKR","NBR","A","2022",48041,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2003",16364,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2004",18717,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2005",22379,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2006",23781,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2007",28307,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2008",40424,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2009",38766,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2010",29051,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2011",40280,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2012",51170,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2013",46926,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2014",30947,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2015",25081,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2016",22115,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2017",14882,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2018",16500,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2019",16572,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2020",11915,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2021",3376,
"AUS","IMMIGINFLOW","FREEMOVS","NBR","A","2022",9257,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2003",10187,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2004",12046,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2005",17528,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2006",16964,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2007",14158,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2008",11729,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2009",14854,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2010",14553,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2011",13976,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2012",13756,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2013",20022,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2014",13768,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2015",13759,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2016",17555,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2017",21968,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2018",16250,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2019",18762,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2020",13171,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2021",5947,
"AUS","IMMIGINFLOW","HUMNTRN","NBR","A","2022",13307,
"AUS","IMMIGINFLOW","OTH","NBR","A","2003",2424,
"AUS","IMMIGINFLOW","OTH","NBR","A","2004",2191,
"AUS","IMMIGINFLOW","OTH","NBR","A","2005",1772,
"AUS","IMMIGINFLOW","OTH","NBR","A","2006",1618,
"AUS","IMMIGINFLOW","OTH","NBR","A","2007",1755,
"AUS","IMMIGINFLOW","OTH","NBR","A","2008",220,
"AUS","IMMIGINFLOW","OTH","NBR","A","2009",175,
"AUS","IMMIGINFLOW","OTH","NBR","A","2010",501,
"AUS","IMMIGINFLOW","OTH","NBR","A","2011",417,
"AUS","IMMIGINFLOW","OTH","NBR","A","2012",639,
"AUS","IMMIGINFLOW","OTH","NBR","A","2013",842,
"AUS","IMMIGINFLOW","OTH","NBR","A","2014",338,
"AUS","IMMIGINFLOW","OTH","NBR","A","2015",238,
"AUS","IMMIGINFLOW","OTH","NBR","A","2016",308,
"AUS","IMMIGINFLOW","OTH","NBR","A","2017",421,
"AUS","IMMIGINFLOW","OTH","NBR","A","2018",236,
"AUS","IMMIGINFLOW","OTH","NBR","A","2019",115,
"AUS","IMMIGINFLOW","OTH","NBR","A","2020",81,
"AUS","IMMIGINFLOW","OTH","NBR","A","2021",54,
"AUS","IMMIGINFLOW","OTH","NBR","A","2022",199,
"AUS","IMMIGINFLOW","WORK","NBR","A","2003",26616,
"AUS","IMMIGINFLOW","WORK","NBR","A","2004",36650,
"AUS","IMMIGINFLOW","WORK","NBR","A","2005",41154,
"AUS","IMMIGINFLOW","WORK","NBR","A","2006",45057,
"AUS","IMMIGINFLOW","WORK","NBR","A","2007",49648,
"AUS","IMMIGINFLOW","WORK","NBR","A","2008",52323,
"AUS","IMMIGINFLOW","WORK","NBR","A","2009",50731,
"AUS","IMMIGINFLOW","WORK","NBR","A","2010",46491,
"AUS","IMMIGINFLOW","WORK","NBR","A","2011",56162,
"AUS","IMMIGINFLOW","WORK","NBR","A","2012",59686,
"AUS","IMMIGINFLOW","WORK","NBR","A","2013",63050,
"AUS","IMMIGINFLOW","WORK","NBR","A","2014",61535,
"AUS","IMMIGINFLOW","WORK","NBR","A","2015",59482,
"AUS","IMMIGINFLOW","WORK","NBR","A","2016",60735,
"AUS","IMMIGINFLOW","WORK","NBR","A","2017",56817,
"AUS","IMMIGINFLOW","WORK","NBR","A","2018",50046,
"AUS","IMMIGINFLOW","WORK","NBR","A","2019",50675,
"AUS","IMMIGINFLOW","WORK","NBR","A","2020",43944,
"AUS","IMMIGINFLOW","WORK","NBR","A","2021",36082,
"AUS","IMMIGINFLOW","WORK","NBR","A","2022",41022,
"AUT","IMMIGINFLOW","FAM","NBR","A","2003",29786,
"AUT","IMMIGINFLOW","FAM","NBR","A","2004",27903,
"AUT","IMMIGINFLOW","FAM","NBR","A","2005",29014,
"AUT","IMMIGINFLOW","FAM","NBR","A","2006",12885,
"AUT","IMMIGINFLOW","FAM","NBR","A","2007",11348,
"AUT","IMMIGINFLOW","FAM","NBR","A","2008",10274,
"AUT","IMMIGINFLOW","FAM","NBR","A","2009",9649,
"AUT","IMMIGINFLOW","FAM","NBR","A","2010",10634,
"AUT","IMMIGINFLOW","FAM","NBR","A","2011",9710,
"AUT","IMMIGINFLOW","FAM","NBR","A","2012",11530,
"AUT","IMMIGINFLOW","FAM","NBR","A","2013",11374,
"AUT","IMMIGINFLOW","FAM","NBR","A","2014",11956,
"AUT","IMMIGINFLOW","FAM","NBR","A","2015",12842,
"AUT","IMMIGINFLOW","FAM","NBR","A","2016",12368,
"AUT","IMMIGINFLOW","FAM","NBR","A","2017",12179,
"AUT","IMMIGINFLOW","FAM","NBR","A","2018",11165,
"AUT","IMMIGINFLOW","FAM","NBR","A","2019",11847,
"AUT","IMMIGINFLOW","FAM","NBR","A","2020",9058,
"AUT","IMMIGINFLOW","FAM","NBR","A","2021",10806,
"AUT","IMMIGINFLOW","FAM","NBR","A","2022",12652,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2003",411,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2004",305,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2005",339,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2006",316,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2007",386,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2008",505,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2009",400,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2010",427,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2011",243,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2012",642,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2013",772,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2014",930,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2015",1078,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2016",979,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2017",1094,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2018",1543,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2019",2013,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2020",1315,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2021",1797,
"AUT","IMMIGINFLOW","FAMWORKR","NBR","A","2022",2179,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2003",14483,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2004",18809,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2005",19362,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2006",11717,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2007",27511,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2008",32170,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2009",29870,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2010",29251,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2011",38224,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2012",50937,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2013",50499,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2014",57516,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2015",70901,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2016",59625,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2017",57928,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2018",56798,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2019",57495,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2020",43871,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2021",46286,
"AUT","IMMIGINFLOW","FREEMOVS","NBR","A","2022",53876,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2003",3760,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2004",7359,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2005",5890,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2006",5147,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2007",7002,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2008",5539,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2009",4982,
"AUT","IMMIGINFLOW","HUMNTRN","NBR","A","2010",4749,
