"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2017","18368.0","1","million cubic metres"
"Albania","2016","21846.0","1","million cubic metres"
"Albania","2015","19300.0","1","million cubic metres"
"Albania","2014","20445.0","1","million cubic metres"
"Albania","2013","17451.0","1","million cubic metres"
"Andorra","2019","366.6","","million cubic metres"
"Andorra","2018","339.0","","million cubic metres"
"Andorra","2017","283.8","","million cubic metres"
"Andorra","2016","300.9","","million cubic metres"
"Andorra","2015","251.0","","million cubic metres"
"Andorra","2014","330.4","","million cubic metres"
"Andorra","2013","313.4","","million cubic metres"
"Andorra","2012","198.5","","million cubic metres"
"Andorra","2011","162.4","","million cubic metres"
"Andorra","2010","260.0","","million cubic metres"
"Andorra","2009","266.8","","million cubic metres"
"Andorra","2008","295.6","","million cubic metres"
"Andorra","2007","126.4","","million cubic metres"
"Andorra","2006","156.8","","million cubic metres"
"Andorra","2005","187.4","","million cubic metres"
"Andorra","2004","183.5","","million cubic metres"
"Andorra","2003","279.9","","million cubic metres"
"Andorra","2002","327.7","","million cubic metres"
"Andorra","2001","241.7","","million cubic metres"
"Andorra","2000","298.3","","million cubic metres"
"Andorra","1999","295.1","","million cubic metres"
"Andorra","1998","181.4","","million cubic metres"
"Andorra","1997","251.6","","million cubic metres"
"Andorra","1996","443.0","","million cubic metres"
"Andorra","1995","242.2","","million cubic metres"
"Andorra","1990","283.8","","million cubic metres"
"Andorra","0","240.1","","million cubic metres"
"Armenia","2021","3863.0","","million cubic metres"
"Armenia","2020","4771.0","","million cubic metres"
"Armenia","2019","3086.0","","million cubic metres"
"Armenia","2018","5939.0","","million cubic metres"
"Armenia","2017","3953.0","","million cubic metres"
"Armenia","2016","6084.0","","million cubic metres"
"Armenia","2015","5678.0","","million cubic metres"
"Armenia","2014","5061.0","","million cubic metres"
"Armenia","2013","5537.0","","million cubic metres"
"Armenia","2012","5181.0","","million cubic metres"
"Armenia","2011","8512.0","","million cubic metres"
"Armenia","2010","6898.0","","million cubic metres"
"Armenia","2009","7039.0","","million cubic metres"
"Armenia","2008","3538.0","","million cubic metres"
"Armenia","2007","7854.0","","million cubic metres"
"Armenia","2006","5577.0","","million cubic metres"
"Armenia","2005","7394.0","","million cubic metres"
"Armenia","2004","4756.0","","million cubic metres"
"Armenia","2003","7598.0","","million cubic metres"
"Armenia","2002","6831.0","","million cubic metres"
"Armenia","2001","2766.0","","million cubic metres"
