"Reference Area Code","Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"AFG","Afghanistan","2014","Not applicable","Not applicable","Percent","4.80435"
"AFG","Afghanistan","2013","Not applicable","Not applicable","Percent","4.54436"
"AFG","Afghanistan","2012","Not applicable","Not applicable","Percent","3.12562"
"AFG","Afghanistan","2011","Not applicable","Not applicable","Percent","4.08791"
"AFG","Afghanistan","2010","Not applicable","Not applicable","Percent","4.51116"
"AFG","Afghanistan","1982","Not applicable","Not applicable","Percent","1.72998"
"AFG","Afghanistan","1981","Not applicable","Not applicable","Percent","1.90917"
"AFG","Afghanistan","1980","Not applicable","Not applicable","Percent","1.84093"
"AFG","Afghanistan","1979","Not applicable","Not applicable","Percent","1.73981"
"AFG","Afghanistan","1975","Not applicable","Not applicable","Percent","1.30332"
"ALB","Albania","2013","Not applicable","Not applicable","Percent","3.538"
"ALB","Albania","2007","Not applicable","Not applicable","Percent","3.26868"
"ALB","Albania","2006","Not applicable","Not applicable","Percent","3.15719"
"ALB","Albania","2005","Not applicable","Not applicable","Percent","3.23872"
"ALB","Albania","2004","Not applicable","Not applicable","Percent","3.17008"
"ALB","Albania","2003","Not applicable","Not applicable","Percent","3.06427"
"ALB","Albania","2002","Not applicable","Not applicable","Percent","3.05663"
"ALB","Albania","2001","Not applicable","Not applicable","Percent","3.3406"
"ALB","Albania","2000","Not applicable","Not applicable","Percent","3.28692"
"ALB","Albania","1999","Not applicable","Not applicable","Percent","3.37972"
"ALB","Albania","1998","Not applicable","Not applicable","Percent","3.32642"
"ALB","Albania","1997","Not applicable","Not applicable","Percent","3.47532"
"ALB","Albania","1996","Not applicable","Not applicable","Percent","3.27428"
"ALB","Albania","1995","Not applicable","Not applicable","Percent","3.76471"
"ALB","Albania","1994","Not applicable","Not applicable","Percent","3.26519"
"DZA","Algeria","2008","Not applicable","Not applicable","Percent","4.33702"
"DZA","Algeria","1980","Not applicable","Not applicable","Percent","6.59742"
"DZA","Algeria","1979","Not applicable","Not applicable","Percent","7.18201"
"AND","Andorra","2014","Not applicable","Not applicable","Percent","3.06442"
"AND","Andorra","2013","Not applicable","Not applicable","Percent","2.46258"
"AND","Andorra","2011","Not applicable","Not applicable","Percent","3.15889"
"AND","Andorra","2010","Not applicable","Not applicable","Percent","3.0658"
"AND","Andorra","2009","Not applicable","Not applicable","Percent","3.16387"
"AND","Andorra","2008","Not applicable","Not applicable","Percent","2.93457"
"AND","Andorra","2007","Not applicable","Not applicable","Percent","2.07405"
"AND","Andorra","2006","Not applicable","Not applicable","Percent","2.19399"
"AND","Andorra","2005","Not applicable","Not applicable","Percent","1.60025"
"AND","Andorra","2004","Not applicable","Not applicable","Percent","1.53254"
"AND","Andorra","2002","Not applicable","Not applicable","Percent","1.69684"
"AND","Andorra","1997","Not applicable","Not applicable","Percent","3.71328"
"AGO","Angola","2010","Not applicable","Not applicable","Percent","3.43897"
"AGO","Angola","2006","Not applicable","Not applicable","Percent","2.28146"
"AGO","Angola","2005","Not applicable","Not applicable","Percent","2.12011"
"AGO","Angola","2000","Not applicable","Not applicable","Percent","2.60753"
"AGO","Angola","1998","Not applicable","Not applicable","Percent","2.59149"
"AGO","Angola","1987","Not applicable","Not applicable","Percent","6.1175"
"AGO","Angola","1986","Not applicable","Not applicable","Percent","6.0545"
"AGO","Angola","1985","Not applicable","Not applicable","Percent","4.622"
"AIA","Anguilla","2008","Not applicable","Not applicable","Percent","2.84263"
"ATG","Antigua and Barbuda","2009","Not applicable","Not applicable","Percent","2.55447"
"ATG","Antigua and Barbuda","2002","Not applicable","Not applicable","Percent","3.44539"
"ATG","Antigua and Barbuda","1999","Not applicable","Not applicable","Percent","3.23707"
"ARG","Argentina","2013","Not applicable","Not applicable","Percent","5.3441"
"ARG","Argentina","2012","Not applicable","Not applicable","Percent","5.09904"
"ARG","Argentina","2011","Not applicable","Not applicable","Percent","4.98631"
"ARG","Argentina","2010","Not applicable","Not applicable","Percent","4.60637"
"ARG","Argentina","2009","Not applicable","Not applicable","Percent","4.88998"
"ARG","Argentina","2008","Not applicable","Not applicable","Percent","4.33781"
"ARG","Argentina","2007","Not applicable","Not applicable","Percent","3.89634"
"ARG","Argentina","2006","Not applicable","Not applicable","Percent","3.65499"
"ARG","Argentina","2005","Not applicable","Not applicable","Percent","3.47405"
"ARG","Argentina","2004","Not applicable","Not applicable","Percent","3.15654"
"ARG","Argentina","2003","Not applicable","Not applicable","Percent","3.53505"
"ARG","Argentina","2002","Not applicable","Not applicable","Percent","4.01734"
"ARG","Argentina","2001","Not applicable","Not applicable","Percent","4.83374"
"ARG","Argentina","2000","Not applicable","Not applicable","Percent","4.58031"
"ARG","Argentina","1999","Not applicable","Not applicable","Percent","4.52168"
"ARG","Argentina","1998","Not applicable","Not applicable","Percent","4.03987"
"ARG","Argentina","1996","Not applicable","Not applicable","Percent","3.73198"
"ARG","Argentina","1990","Not applicable","Not applicable","Percent","1.06738"
"ARG","Argentina","1989","Not applicable","Not applicable","Percent","1.04612"
"ARG","Argentina","1987","Not applicable","Not applicable","Percent","1.2823"
"ARG","Argentina","1986","Not applicable","Not applicable","Percent","1.26155"
"ARG","Argentina","1985","Not applicable","Not applicable","Percent","1.36186"
"ARG","Argentina","1984","Not applicable","Not applicable","Percent","2.56972"
"ARG","Argentina","1983","Not applicable","Not applicable","Percent","1.6175"
"ARG","Argentina","1982","Not applicable","Not applicable","Percent","1.59787"
"ARG","Argentina","1980","Not applicable","Not applicable","Percent","2.60715"
"ARG","Argentina","1979","Not applicable","Not applicable","Percent","2.40028"
"ARG","Argentina","1978","Not applicable","Not applicable","Percent","1.93555"
"ARG","Argentina","1977","Not applicable","Not applicable","Percent","1.71984"
"ARG","Argentina","1976","Not applicable","Not applicable","Percent","1.16564"
"ARG","Argentina","1975","Not applicable","Not applicable","Percent","1.8436"
"ARM","Armenia","2014","Not applicable","Not applicable","Percent","2.2405"
"ARM","Armenia","2013","Not applicable","Not applicable","Percent","2.65018"
"ARM","Armenia","2012","Not applicable","Not applicable","Percent","3.07124"
"ARM","Armenia","2011","Not applicable","Not applicable","Percent","3.14384"
"ARM","Armenia","2010","Not applicable","Not applicable","Percent","3.249"
"ARM","Armenia","2009","Not applicable","Not applicable","Percent","3.84079"
"ARM","Armenia","2008","Not applicable","Not applicable","Percent","3.17273"
"ARM","Armenia","2007","Not applicable","Not applicable","Percent","3.01894"
"ARM","Armenia","2006","Not applicable","Not applicable","Percent","2.71577"
"ARM","Armenia","2005","Not applicable","Not applicable","Percent","2.71203"
"ARM","Armenia","2004","Not applicable","Not applicable","Percent","2.48673"
"ARM","Armenia","2003","Not applicable","Not applicable","Percent","2.14505"
"ARM","Armenia","2002","Not applicable","Not applicable","Percent","2.13504"
"ARM","Armenia","2001","Not applicable","Not applicable","Percent","2.46944"
"ARM","Armenia","2000","Not applicable","Not applicable","Percent","2.77272"
"ARM","Armenia","1999","Not applicable","Not applicable","Percent","2.23518"
"ARM","Armenia","1996","Not applicable","Not applicable","Percent","1.84843"
"ABW","Aruba","2011","Not applicable","Not applicable","Percent","6.03687"
"ABW","Aruba","2010","Not applicable","Not applicable","Percent","6.71249"
"ABW","Aruba","2009","Not applicable","Not applicable","Percent","5.92467"
"ABW","Aruba","2008","Not applicable","Not applicable","Percent","4.91559"
"ABW","Aruba","2007","Not applicable","Not applicable","Percent","4.79918"
"ABW","Aruba","2005","Not applicable","Not applicable","Percent","4.68076"
"ABW","Aruba","2004","Not applicable","Not applicable","Percent","4.4089"
"ABW","Aruba","2002","Not applicable","Not applicable","Percent","4.92427"
"ABW","Aruba","2001","Not applicable","Not applicable","Percent","4.73949"
"ABW","Aruba","2000","Not applicable","Not applicable","Percent","4.71468"
"ABW","Aruba","1999","Not applicable","Not applicable","Percent","4.39554"
"ABW","Aruba","1998","Not applicable","Not applicable","Percent","4.76316"
"AUS","Australia","2013","Not applicable","Not applicable","Percent","5.27066"
"AUS","Australia","2012","Not applicable","Not applicable","Percent","4.89646"
"AUS","Australia","2011","Not applicable","Not applicable","Percent","5.09907"
"AUS","Australia","2010","Not applicable","Not applicable","Percent","5.56894"
"AUS","Australia","2009","Not applicable","Not applicable","Percent","5.09263"
"AUS","Australia","2008","Not applicable","Not applicable","Percent","4.63529"
"AUS","Australia","2007","Not applicable","Not applicable","Percent","4.66116"
"AUS","Australia","2006","Not applicable","Not applicable","Percent","4.74494"
"AUS","Australia","2005","Not applicable","Not applicable","Percent","4.91266"
"AUS","Australia","2000","Not applicable","Not applicable","Percent","4.89466"
"AUS","Australia","1996","Not applicable","Not applicable","Percent","5.22949"
"AUS","Australia","1995","Not applicable","Not applicable","Percent","5.11983"
"AUS","Australia","1994","Not applicable","Not applicable","Percent","5.24659"
"AUS","Australia","1993","Not applicable","Not applicable","Percent","5.50915"
"AUS","Australia","1992","Not applicable","Not applicable","Percent","4.68764"
"AUS","Australia","1991","Not applicable","Not applicable","Percent","4.7922"
"AUS","Australia","1990","Not applicable","Not applicable","Percent","4.67311"
"AUS","Australia","1989","Not applicable","Not applicable","Percent","4.74656"
"AUS","Australia","1988","Not applicable","Not applicable","Percent","4.91693"
"AUS","Australia","1987","Not applicable","Not applicable","Percent","5.07005"
"AUS","Australia","1986","Not applicable","Not applicable","Percent","5.28119"
"AUS","Australia","1985","Not applicable","Not applicable","Percent","5.40571"
"AUS","Australia","1983","Not applicable","Not applicable","Percent","5.3744"
"AUS","Australia","1982","Not applicable","Not applicable","Percent","5.48238"
"AUS","Australia","1980","Not applicable","Not applicable","Percent","5.65847"
"AUS","Australia","1979","Not applicable","Not applicable","Percent","5.90194"
"AUS","Australia","1978","Not applicable","Not applicable","Percent","6.0136"
"AUT","Austria","2013","Not applicable","Not applicable","Percent","5.56484"
"AUT","Austria","2012","Not applicable","Not applicable","Percent","5.45335"
"AUT","Austria","2011","Not applicable","Not applicable","Percent","5.61943"
"AUT","Austria","2010","Not applicable","Not applicable","Percent","5.72502"
"AUT","Austria","2009","Not applicable","Not applicable","Percent","5.76741"
"AUT","Austria","2008","Not applicable","Not applicable","Percent","5.29699"
"AUT","Austria","2007","Not applicable","Not applicable","Percent","5.17663"
"AUT","Austria","2006","Not applicable","Not applicable","Percent","5.25293"
"AUT","Austria","2005","Not applicable","Not applicable","Percent","5.27149"
"AUT","Austria","2004","Not applicable","Not applicable","Percent","5.32094"
"AUT","Austria","2003","Not applicable","Not applicable","Percent","5.38187"
"AUT","Austria","2002","Not applicable","Not applicable","Percent","5.53268"
"AUT","Austria","2001","Not applicable","Not applicable","Percent","5.58635"
"AUT","Austria","2000","Not applicable","Not applicable","Percent","5.59957"
"AUT","Austria","1999","Not applicable","Not applicable","Percent","6.12534"
"AUT","Austria","1998","Not applicable","Not applicable","Percent","6.1199"
"AUT","Austria","1996","Not applicable","Not applicable","Percent","5.27168"
"AUT","Austria","1995","Not applicable","Not applicable","Percent","5.44146"
"AUT","Austria","1993","Not applicable","Not applicable","Percent","5.26468"
"AUT","Austria","1992","Not applicable","Not applicable","Percent","5.30977"
"AUT","Austria","1991","Not applicable","Not applicable","Percent","5.11554"
"AUT","Austria","1990","Not applicable","Not applicable","Percent","4.96923"
"AUT","Austria","1989","Not applicable","Not applicable","Percent","5.03029"
"AUT","Austria","1988","Not applicable","Not applicable","Percent","5.20327"
"AUT","Austria","1987","Not applicable","Not applicable","Percent","5.38909"
"AUT","Austria","1986","Not applicable","Not applicable","Percent","5.51324"
"AUT","Austria","1985","Not applicable","Not applicable","Percent","5.31"
"AUT","Austria","1984","Not applicable","Not applicable","Percent","5.30726"
"AUT","Austria","1983","Not applicable","Not applicable","Percent","5.31659"
"AUT","Austria","1982","Not applicable","Not applicable","Percent","5.37594"
"AUT","Austria","1981","Not applicable","Not applicable","Percent","5.38077"
"AUT","Austria","1980","Not applicable","Not applicable","Percent","5.02107"
