"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"84","Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Number","5637",""
"84","Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Number","5344","1"
"84","Afghanistan","Male","2004","UNESCO_UIS Database_Sep2007","Number","22011",""
"84","Afghanistan","Male","2003","UNESCO_UIS Database_Sep2007","Number","20867",""
"149","Albania","Female","2004","UNESCO_UIS Database_Sep2007","Number","32897",""
"149","Albania","Female","2003","UNESCO_UIS Database_Sep2007","Number","27180",""
"149","Albania","Female","2002","UNESCO_UIS Database_Sep2007","Number","26124",""
"149","Albania","Female","2001","UNESCO_UIS Database_Sep2007","Number","25069",""
"149","Albania","Female","2000","UNESCO_UIS Database_Sep2007","Number","24017",""
"149","Albania","Female","1999","UNESCO_UIS Database_Sep2007","Number","23032",""
"149","Albania","Male","2004","UNESCO_UIS Database_Sep2007","Number","20117",""
"149","Albania","Male","2003","UNESCO_UIS Database_Sep2007","Number","16420",""
"149","Albania","Male","2002","UNESCO_UIS Database_Sep2007","Number","16036",""
"149","Albania","Male","2001","UNESCO_UIS Database_Sep2007","Number","15790",""
"149","Albania","Male","2000","UNESCO_UIS Database_Sep2007","Number","16108",""
"149","Albania","Male","1999","UNESCO_UIS Database_Sep2007","Number","15470",""
"30","Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Number","429912",""
"30","Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Number","365409",""
"30","Algeria","Male","2005","UNESCO_UIS Database_Sep2007","Number","325551",""
"30","Algeria","Male","2004","UNESCO_UIS Database_Sep2007","Number","351043",""
"150","Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Number","174",""
"150","Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Number","161",""
"150","Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Number","149",""
"150","Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Number","133",""
"150","Andorra","Male","2005","UNESCO_UIS Database_Sep2007","Number","168",""
"150","Andorra","Male","2004","UNESCO_UIS Database_Sep2007","Number","170",""
"150","Andorra","Male","2003","UNESCO_UIS Database_Sep2007","Number","157",""
"150","Andorra","Male","2002","UNESCO_UIS Database_Sep2007","Number","134",""
"16","Angola","Female","2002","UNESCO_UIS Database_Sep2007","Number","5009","2"
"16","Angola","Female","1999","UNESCO_UIS Database_Sep2007","Number","3060",""
"16","Angola","Male","2002","UNESCO_UIS Database_Sep2007","Number","7557","3"
"16","Angola","Male","1999","UNESCO_UIS Database_Sep2007","Number","4785",""
"207","Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Number","25",""
"207","Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Number","17",""
"207","Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Number","12",""
"207","Anguilla","Female","2002","UNESCO_UIS Database_Sep2007","Number","…","4"
"207","Anguilla","Female","2001","UNESCO_UIS Database_Sep2007","Number","…","4"
