country,iso2c,iso3c,year,military,education,health
Canada,CA,CAN,1960,NA,NA,NA
Canada,CA,CAN,1961,NA,NA,NA
Canada,CA,CAN,1962,NA,NA,NA
Canada,CA,CAN,1963,NA,NA,NA
Canada,CA,CAN,1964,NA,NA,NA
Canada,CA,CAN,1965,NA,NA,NA
Canada,CA,CAN,1966,NA,NA,NA
Canada,CA,CAN,1967,NA,NA,NA
Canada,CA,CAN,1968,NA,NA,NA
Canada,CA,CAN,1969,NA,NA,NA
Canada,CA,CAN,1970,NA,NA,NA
Canada,CA,CAN,1971,NA,NA,NA
Canada,CA,CAN,1972,NA,NA,NA
Canada,CA,CAN,1973,NA,NA,NA
Canada,CA,CAN,1974,NA,NA,NA
Canada,CA,CAN,1975,NA,NA,NA
Canada,CA,CAN,1976,NA,NA,NA
Canada,CA,CAN,1977,NA,NA,NA
Canada,CA,CAN,1978,NA,NA,NA
Canada,CA,CAN,1979,NA,NA,NA
Canada,CA,CAN,1980,NA,NA,NA
Canada,CA,CAN,1981,NA,NA,NA
Canada,CA,CAN,1982,NA,NA,NA
Canada,CA,CAN,1983,NA,NA,NA
Canada,CA,CAN,1984,NA,NA,NA
Canada,CA,CAN,1985,NA,NA,NA
Canada,CA,CAN,1986,NA,NA,NA
Canada,CA,CAN,1987,NA,NA,NA
Canada,CA,CAN,1988,4.34082655937621,NA,NA
Canada,CA,CAN,1989,4.18688901099986,NA,NA
Canada,CA,CAN,1990,3.98190863727281,NA,NA
Canada,CA,CAN,1991,3.59879493039684,NA,NA
Canada,CA,CAN,1992,3.45698501440769,NA,NA
Canada,CA,CAN,1993,3.44489084786311,NA,NA
Canada,CA,CAN,1994,3.36951649302872,NA,NA
Canada,CA,CAN,1995,3.1727128681944,NA,NA
Canada,CA,CAN,1996,2.97895270698618,NA,NA
Canada,CA,CAN,1997,2.79085696889746,NA,NA
Canada,CA,CAN,1998,2.8155809481819,NA,NA
Canada,CA,CAN,1999,2.89731501383463,NA,NA
Canada,CA,CAN,2000,2.74757242596902,NA,14.8156271
Canada,CA,CAN,2001,2.75741233589552,NA,15.27647972
Canada,CA,CAN,2002,2.76494828683953,NA,15.88256645
Canada,CA,CAN,2003,2.76081510533127,NA,16.36354446
Canada,CA,CAN,2004,2.82151151446051,NA,16.9260788
Canada,CA,CAN,2005,2.8740606824262,NA,17.13103867
Canada,CA,CAN,2006,2.90352212845166,NA,16.77815819
Canada,CA,CAN,2007,3.07845153858812,NA,17.06455421
Canada,CA,CAN,2008,3.21213682290467,12.4984664916992,17.28317642
Canada,CA,CAN,2009,3.17257451065171,12.5725317001343,17.32606506
Canada,CA,CAN,2010,2.7734066840798,12.6209001541138,17.37576103
Canada,CA,CAN,2011,2.87019825887948,12.7131490707397,17.58274078
Canada,CA,CAN,2012,2.73273478077143,12.8579139709473,18.10465431
Canada,CA,CAN,2013,2.50837990296678,13.002293586731,18.43753624
Canada,CA,CAN,2014,2.57991356740854,12.9890079498291,18.87215233
Canada,CA,CAN,2015,2.88044713216989,12.7445983886719,18.96902466
Canada,CA,CAN,2016,2.85661155873435,12.6629419326782,18.86497879
Canada,CA,CAN,2017,3.34169548674661,12.9404630661011,18.72253799
Canada,CA,CAN,2018,3.24053601561142,12.9341850280762,18.63416862
Canada,CA,CAN,2019,3.16271743815418,12.6524801254272,18.79534912
Canada,CA,CAN,2020,2.64621776541041,9.87754249572754,18.30060768
Canada,CA,CAN,2021,2.78680056709947,11.0546884536743,19.01743889
Canada,CA,CAN,2022,2.87769133568517,11.0546884536743,NA
European Union,EU,EUU,1960,NA,NA,NA
European Union,EU,EUU,1961,NA,NA,NA
European Union,EU,EUU,1962,NA,NA,NA
European Union,EU,EUU,1963,NA,NA,NA
European Union,EU,EUU,1964,NA,NA,NA
European Union,EU,EUU,1965,NA,NA,NA
European Union,EU,EUU,1966,NA,NA,NA
European Union,EU,EUU,1967,NA,NA,NA
European Union,EU,EUU,1968,NA,NA,NA
European Union,EU,EUU,1969,NA,NA,NA
European Union,EU,EUU,1970,NA,NA,NA
European Union,EU,EUU,1971,NA,NA,NA
European Union,EU,EUU,1972,NA,NA,NA
European Union,EU,EUU,1973,NA,NA,NA
European Union,EU,EUU,1974,NA,NA,NA
European Union,EU,EUU,1975,NA,NA,NA
European Union,EU,EUU,1976,NA,NA,NA
European Union,EU,EUU,1977,NA,NA,NA
European Union,EU,EUU,1978,NA,NA,NA
European Union,EU,EUU,1979,NA,NA,NA
European Union,EU,EUU,1980,NA,NA,NA
European Union,EU,EUU,1981,NA,NA,NA
European Union,EU,EUU,1982,NA,NA,NA
European Union,EU,EUU,1983,NA,NA,NA
European Union,EU,EUU,1984,NA,NA,NA
European Union,EU,EUU,1985,NA,NA,NA
European Union,EU,EUU,1986,NA,NA,NA
European Union,EU,EUU,1987,NA,NA,NA
European Union,EU,EUU,1988,4.93458012865997,NA,NA
European Union,EU,EUU,1989,4.78784217006206,NA,NA
European Union,EU,EUU,1990,4.54084234194834,NA,NA
European Union,EU,EUU,1991,4.31683198897515,NA,NA
