country,iso2c,year,military_usd,military_gov,education_gov,region
Canada,CA,1960,1702442711.4107,NA,NA,North America
Canada,CA,1961,1677820881.08423,NA,NA,North America
Canada,CA,1962,1671313753.19292,NA,NA,North America
Canada,CA,1963,1610091700.58692,NA,NA,North America
Canada,CA,1964,1657457282.98458,NA,NA,North America
Canada,CA,1965,1574704539.97291,NA,NA,North America
Canada,CA,1966,1614422827.01519,NA,NA,North America
Canada,CA,1967,1775500366.17812,NA,NA,North America
Canada,CA,1968,1797265817.14572,NA,NA,North America
Canada,CA,1969,1770108751.17249,NA,NA,North America
Canada,CA,1970,1889157917.90681,NA,NA,North America
Canada,CA,1971,2077659711.42515,NA,NA,North America
Canada,CA,1972,2233737030.68794,NA,NA,North America
Canada,CA,1973,2363060955.12359,NA,NA,North America
Canada,CA,1974,2809465529.28173,NA,NA,North America
Canada,CA,1975,3180915490.18837,NA,NA,North America
Canada,CA,1976,3581805735.1487,NA,NA,North America
Canada,CA,1977,3752174526.30589,NA,NA,North America
Canada,CA,1978,3969158477.03543,NA,NA,North America
Canada,CA,1979,4084145737.65174,NA,NA,North America
Canada,CA,1980,4744402251.07336,NA,NA,North America
Canada,CA,1981,5141128191.44056,NA,NA,North America
Canada,CA,1982,6017321456.07224,NA,NA,North America
Canada,CA,1983,6947104071.66388,NA,NA,North America
Canada,CA,1984,7349795763.93554,NA,NA,North America
Canada,CA,1985,7460563318.39353,NA,NA,North America
Canada,CA,1986,7780136739.83447,NA,NA,North America
Canada,CA,1987,8694447167.77653,NA,NA,North America
Canada,CA,1988,9897335684.27981,4.34082655937621,NA,North America
Canada,CA,1989,10747134688.6376,4.18688901099986,NA,North America
Canada,CA,1990,11414631846.8936,3.98190863727281,NA,North America
Canada,CA,1991,11338503299.2354,3.59879493039684,NA,North America
Canada,CA,1992,10788803123.94,3.45698501440769,NA,North America
Canada,CA,1993,10268822622.0283,3.44489084786311,NA,North America
Canada,CA,1994,9577377639.78794,3.36951649302872,NA,North America
Canada,CA,1995,9176903908.36758,3.1727128681944,NA,North America
Canada,CA,1996,8615884471.23883,2.97895270698618,NA,North America
Canada,CA,1997,7945140182.86606,2.79085696889746,NA,North America
Canada,CA,1998,7748607984.03732,2.8155809481819,NA,North America
Canada,CA,1999,8210778539.84237,2.89731501383463,NA,North America
Canada,CA,2000,8299385230.72365,2.74757242596902,NA,North America
Canada,CA,2001,8375571424.88184,2.75741233589552,NA,North America
Canada,CA,2002,8495399281.21734,2.76494828683953,NA,North America
Canada,CA,2003,9958245601.51315,2.76081510533127,NA,North America
Canada,CA,2004,11336489831.0556,2.82151151446051,NA,North America
Canada,CA,2005,12988132963.6232,2.8740606824262,NA,North America
Canada,CA,2006,14809892802.9902,2.90352212845166,NA,North America
Canada,CA,2007,17417139931.1051,3.07845153858812,NA,North America
Canada,CA,2008,19342058404.5584,3.21213682290467,12.4984664916992,North America
Canada,CA,2009,18936226051.964,3.17257451065171,12.5725317001343,North America
Canada,CA,2010,19315688825.0369,2.7734066840798,12.6209001541138,North America
Canada,CA,2011,21393720863.7223,2.87019825887948,12.7131490707397,North America
Canada,CA,2012,20452107110.9741,2.73273478077143,12.8579139709473,North America
Canada,CA,2013,18515731209.9437,2.50837990296678,13.002293586731,North America
Canada,CA,2014,17853640477.6849,2.57991356740854,12.9890079498291,North America
Canada,CA,2015,17937641894.7407,2.88044713216989,12.7445983886719,North America
Canada,CA,2016,17782775543.0736,2.85661155873435,12.6629419326782,North America
Canada,CA,2017,22269696323.3229,3.34169548674661,12.9404630661011,North America
Canada,CA,2018,22729327580.3404,3.24053601561142,12.9341850280762,North America
Canada,CA,2019,22394875659.3821,3.16271743815418,12.6524801254272,North America
Canada,CA,2020,23082774049.217,2.64621776541041,9.87754249572754,North America
Canada,CA,2021,25362240829.3461,2.78680056709947,11.0546884536743,North America
Canada,CA,2022,26896315904.7337,2.87769133568517,11.0546884536743,North America
European Union,EU,1960,13495646845.2004,NA,NA,Aggregates
European Union,EU,1961,14871176244.4079,NA,NA,Aggregates
European Union,EU,1962,17135259125.2649,NA,NA,Aggregates
European Union,EU,1963,18850525070.3972,NA,NA,Aggregates
European Union,EU,1964,19807994518.389,NA,NA,Aggregates
European Union,EU,1965,20815499723.0565,NA,NA,Aggregates
European Union,EU,1966,22174437609.0776,NA,NA,Aggregates
European Union,EU,1967,23502682137.1701,NA,NA,Aggregates
European Union,EU,1968,24846359488.6759,NA,NA,Aggregates
