country,iso2c,iso3c,year,status,lastupdated,refugee_asylum,refugee_origin,oda_gni,oda_usd,oda_gov,military_usd,military_gov,arms_imports,arms_exports,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2014,,2023-12-18,300421,2596259,24.0420670435096,4942970214.84375,54.0834413437133,268238787.719988,5.10979266008033,317000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1971,,2023-12-18,NA,NA,2.37788624299104,44439998.626709,NA,NA,NA,149000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,,2023-12-18,34,2107510,NA,2895830078.125,201.847753412249,131346231.269517,10.360381710746699,3000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2023-12-18,16861,2556483,25.495817906391,5152540039.0625,60.7584404589618,217194107.113298,4.31176435442433,255000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,,2023-12-18,19605,2679132,NA,212529998.779297,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,,2023-12-18,31,2166139,NA,2815100097.65625,NA,122727193.134874,12.6897579454611,33000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2023-12-18,5,2676675,NA,230750000,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2023-12-18,NA,2667118,NA,164199996.948242,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,,2023-12-18,NA,2601690,NA,142860000.610352,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,,2023-12-18,18779,2674234,NA,169630004.882813,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1972,,2023-12-18,NA,NA,3.38297455351774,55180000.3051758,NA,NA,NA,124000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,,2023-12-18,257553,2666294,22.2043693748744,4274229980.46875,60.3365571888339,199517108.764826,3.83314218682084,139000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2016,,2023-12-18,59770,2501447,22.1761002200846,4069419921.875,51.1407149425832,185878310.062383,3.6802510519657,169000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2023-12-18,NA,3587327,NA,136009994.506836,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2023-12-18,31,2414460,NA,2268530029.29688,NA,125111557.457054,16.134336001725,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1961,,2023-12-18,NA,NA,6.19107085591996,34669998.1689453,NA,NA,NA,56000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1962,,2023-12-18,NA,NA,3.03525886165158,16930000.3051758,NA,NA,NA,64000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1963,,2023-12-18,NA,NA,4.78304298987758,36669998.1689453,NA,NA,NA,40000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,,2023-12-18,43,3057655,NA,4982609863.28125,210.841180481355,219580214.296198,11.9484046164291,39000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2023-12-18,37,2833116,47.6018275188545,4811209960.9375,93.8339768931954,240532594.620985,11.1654087876017,145000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2023-12-18,36,2887114,49.3856179372646,6113120117.1875,111.095714976595,251869514.820335,9.86038937465642,324000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,,2023-12-18,6434,3054699,39.2509639724833,6235319824.21875,77.3116204449435,298147102.825701,9.35459613289025,360000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,,2023-12-18,3011,2664423,37.9368210601875,6745740234.375,63.6911963131984,325806949.72333,8.30276004557373,628000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,,2023-12-18,16184,2586132,33.398540191186,6666770019.53125,79.1155536440845,238583385.374322,4.696372864714,519000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1970,,2023-12-18,NA,NA,1.54726032359141,27610000.6103516,NA,2939585.50125376,NA,9000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1973,,2023-12-18,NA,NA,3.14605159640144,55720001.2207031,NA,3341271.55123016,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1974,,2023-12-18,NA,NA,2.22093843236199,48909999.8474121,NA,3581366.35143003,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1988,,2023-12-18,NA,5622982,NA,73500000,NA,NA,NA,1047000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1991,,2023-12-18,38,6306301,NA,508540008.544922,NA,NA,NA,1411000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1992,,2023-12-18,60025,4552153,NA,204800003.051758,NA,NA,NA,NA,1000000,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1993,,2023-12-18,32131,3374575,NA,223800003.051758,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1994,,2023-12-18,19134,2731166,NA,226419998.168945,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1964,,2023-12-18,NA,NA,5.66117139133249,46169998.1689453,NA,NA,NA,56000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1965,,2023-12-18,NA,NA,5.25292205079719,53930000.3051758,NA,NA,NA,91000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1966,,2023-12-18,NA,NA,3.55800938620611,50840000.1525879,NA,NA,NA,198000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1967,,2023-12-18,NA,NA,2.40390128687798,41080001.8310547,NA,NA,NA,230000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1968,,2023-12-18,NA,NA,2.08526153286058,29239999.7711182,NA,NA,NA,145000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1969,,2023-12-18,NA,NA,1.89528598781321,27250000,NA,NA,NA,92000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,,2023-12-18,10,3809763,NA,410359985.351563,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2023-12-18,NA,2510294,NA,1223290039.0625,NA,NA,NA,34000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2023-12-18,24,2136039,NA,1538229980.46875,NA,NA,NA,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1960,,2023-12-18,NA,NA,3.12995979786311,17180000.3051758,NA,NA,NA,40000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1976,,2023-12-18,NA,NA,2.68851046879588,70199996.9482422,NA,5393251.2159455,NA,230000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1977,,2023-12-18,NA,NA,2.74108995111258,82720001.2207031,NA,6127288.0633346,NA,75000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1978,,2023-12-18,NA,NA,2.20995390436947,74500000,NA,NA,NA,281000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1979,,2023-12-18,NA,500000,2.6275617366056,99209999.0844727,NA,NA,NA,360000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1980,,2023-12-18,NA,1734921,0.76953022005757,28600000.3814697,NA,NA,NA,352000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1981,,2023-12-18,NA,3879984,0.646203121457989,22950000.7629395,NA,NA,NA,382000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1982,,2023-12-18,NA,4488214,NA,9739999.77111816,NA,NA,NA,294000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1983,,2023-12-18,NA,4712735,NA,13479999.5422363,NA,NA,NA,236000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1984,,2023-12-18,NA,4417651,NA,6710000.03814697,NA,NA,NA,368000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1985,,2023-12-18,NA,4653193,NA,16319999.6948242,NA,NA,NA,153000000,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
