country,iso2c,iso3c,year,status,lastupdated,female_unemploy,male_unemploy,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2014,,2023-12-18,10.306,7.34,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1971,,2023-12-18,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,,2023-12-18,10.581,7.536,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2023-12-18,10.392,7.404,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,,2023-12-18,10.839,7.726,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,,2023-12-18,10.642,7.586,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2023-12-18,10.652,7.57,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2023-12-18,10.647,7.567,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,,2023-12-18,10.634,7.559,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,,2023-12-18,10.735,7.639,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1972,,2023-12-18,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,,2023-12-18,11.538,8.342,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2016,,2023-12-18,12.783,9.356,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2023-12-18,10.617,7.546,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2023-12-18,10.583,7.532,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1961,,2023-12-18,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1962,,2023-12-18,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1963,,2023-12-18,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,,2023-12-18,10.647,7.594,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2023-12-18,10.553,7.516,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2023-12-18,10.622,7.578,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,,2023-12-18,10.603,7.565,South Asia,Kabul,69.1761,34.5228,Low income,IDA
