year,Country.Name,Country.Code,n
1960,China,CHN,159
1960,France,FRA,267
1960,Germany,DEU,149
1960,India,IND,274
1960,Italy,ITA,182
1960,Japan,JPN,203
1960,Russian Federation,RUS,92
1960,United Kingdom,GBR,198
1960,United States,USA,214
1961,China,CHN,207
1961,France,FRA,305
1961,Germany,DEU,171
1961,India,IND,319
1961,Italy,ITA,215
1961,Japan,JPN,229
1961,Russian Federation,RUS,95
1961,United Kingdom,GBR,233
1961,United States,USA,241
1962,China,CHN,188
1962,France,FRA,324
1962,Germany,DEU,181
1962,India,IND,325
1962,Italy,ITA,220
1962,Japan,JPN,239
1962,Russian Federation,RUS,95
1962,United Kingdom,GBR,236
1962,United States,USA,253
1963,China,CHN,188
1963,France,FRA,324
1963,Germany,DEU,181
1963,India,IND,332
1963,Italy,ITA,220
1963,Japan,JPN,246
1963,Russian Federation,RUS,95
1963,United Kingdom,GBR,241
1963,United States,USA,273
1964,China,CHN,189
1964,France,FRA,324
1964,Germany,DEU,181
1964,India,IND,335
1964,Italy,ITA,220
1964,Japan,JPN,244
1964,Russian Federation,RUS,96
1964,United Kingdom,GBR,236
1964,United States,USA,273
1965,China,CHN,194
1965,France,FRA,327
1965,Germany,DEU,183
1965,India,IND,339
1965,Italy,ITA,223
1965,Japan,JPN,251
1965,Russian Federation,RUS,97
1965,United Kingdom,GBR,239
1965,United States,USA,280
1966,China,CHN,192
1966,France,FRA,325
1966,Germany,DEU,181
1966,India,IND,335
1966,Italy,ITA,220
1966,Japan,JPN,244
1966,Russian Federation,RUS,96
1966,United Kingdom,GBR,243
1966,United States,USA,273
1967,China,CHN,191
1967,France,FRA,325
1967,Germany,DEU,181
1967,India,IND,337
1967,Italy,ITA,225
1967,Japan,JPN,245
1967,Russian Federation,RUS,95
1967,United Kingdom,GBR,240
1967,United States,USA,273
1968,China,CHN,191
1968,France,FRA,332
1968,Germany,DEU,187
1968,India,IND,340
1968,Italy,ITA,225
1968,Japan,JPN,253
1968,Russian Federation,RUS,95
1968,United Kingdom,GBR,260
1968,United States,USA,274
1969,China,CHN,197
1969,France,FRA,325
1969,Germany,DEU,189
1969,India,IND,344
1969,Italy,ITA,225
1969,Japan,JPN,257
1969,Russian Federation,RUS,95
1969,United Kingdom,GBR,260
1969,United States,USA,275
1970,China,CHN,243
1970,France,FRA,368
1970,Germany,DEU,314
1970,India,IND,418
1970,Italy,ITA,404
1970,Japan,JPN,374
1970,Russian Federation,RUS,118
1970,United Kingdom,GBR,413
1970,United States,USA,451
1971,China,CHN,263
1971,France,FRA,410
1971,Germany,DEU,385
1971,India,IND,506
1971,Italy,ITA,473
1971,Japan,JPN,416
1971,Russian Federation,RUS,125
1971,United Kingdom,GBR,481
1971,United States,USA,455
1972,China,CHN,263
1972,France,FRA,443
1972,Germany,DEU,421
1972,India,IND,468
1972,Italy,ITA,455
1972,Japan,JPN,424
1972,Russian Federation,RUS,120
1972,United Kingdom,GBR,507
1972,United States,USA,501
1973,China,CHN,265
1973,France,FRA,422
1973,Germany,DEU,420
1973,India,IND,479
1973,Italy,ITA,495
1973,Japan,JPN,422
1973,Russian Federation,RUS,120
1973,United Kingdom,GBR,509
1973,United States,USA,498
1974,China,CHN,281
1974,France,FRA,427
1974,Germany,DEU,420
1974,India,IND,495
1974,Italy,ITA,490
1974,Japan,JPN,422
1974,Russian Federation,RUS,120
1974,United Kingdom,GBR,507
1974,United States,USA,497
1975,China,CHN,286
1975,France,FRA,511
1975,Germany,DEU,430
1975,India,IND,580
1975,Italy,ITA,497
1975,Japan,JPN,432
1975,Russian Federation,RUS,125
1975,United Kingdom,GBR,516
1975,United States,USA,515
1976,China,CHN,290
1976,France,FRA,489
1976,Germany,DEU,434
1976,India,IND,578
1976,Italy,ITA,515
1976,Japan,JPN,429
1976,Russian Federation,RUS,127
1976,United Kingdom,GBR,518
1976,United States,USA,508
1977,China,CHN,301
1977,France,FRA,506
1977,Germany,DEU,434
1977,India,IND,590
1977,Italy,ITA,509
1977,Japan,JPN,431
1977,Russian Federation,RUS,125
1977,United Kingdom,GBR,515
1977,United States,USA,507
1978,China,CHN,330
1978,France,FRA,510
1978,Germany,DEU,434
1978,India,IND,576
1978,Italy,ITA,516
1978,Japan,JPN,432
1978,Russian Federation,RUS,125
1978,United Kingdom,GBR,518
1978,United States,USA,510
1979,China,CHN,357
1979,France,FRA,561
1979,Germany,DEU,435
1979,India,IND,567
1979,Italy,ITA,531
1979,Japan,JPN,439
1979,Russian Federation,RUS,124
1979,United Kingdom,GBR,519
1979,United States,USA,513
1980,China,CHN,391
1980,France,FRA,556
1980,Germany,DEU,439
1980,India,IND,591
1980,Italy,ITA,516
1980,Japan,JPN,457
1980,Russian Federation,RUS,125
1980,United Kingdom,GBR,529
1980,United States,USA,536
1981,China,CHN,418
1981,France,FRA,531
1981,Germany,DEU,439
1981,India,IND,616
1981,Italy,ITA,508
1981,Japan,JPN,444
1981,Russian Federation,RUS,142
1981,United Kingdom,GBR,529
1981,United States,USA,539
1982,China,CHN,513
1982,France,FRA,550
1982,Germany,DEU,439
1982,India,IND,590
1982,Italy,ITA,495
1982,Japan,JPN,443
1982,Russian Federation,RUS,126
1982,United Kingdom,GBR,527
1982,United States,USA,534
1983,China,CHN,493
1983,France,FRA,558
1983,Germany,DEU,461
1983,India,IND,605
1983,Italy,ITA,511
1983,Japan,JPN,446
1983,Russian Federation,RUS,126
1983,United Kingdom,GBR,545
1983,United States,USA,533
1984,China,CHN,508
1984,France,FRA,542
1984,Germany,DEU,461
1984,India,IND,598
1984,Italy,ITA,512
1984,Japan,JPN,447
1984,Russian Federation,RUS,126
1984,United Kingdom,GBR,545
1984,United States,USA,535
1985,China,CHN,515
1985,France,FRA,569
1985,Germany,DEU,465
1985,India,IND,593
1985,Italy,ITA,534
1985,Japan,JPN,449
1985,Russian Federation,RUS,129
1985,United Kingdom,GBR,544
1985,United States,USA,538
1986,China,CHN,518
1986,France,FRA,573
1986,Germany,DEU,464
1986,India,IND,608
